sex:Female,age:<21,age:<23,age:<26,age:<46,juvenile-felonies:=0,juvenile-misdemeanors:=0,juvenile-crimes:=0,priors:=0,priors:=1,priors:2-3,priors:>3,recidivate-within-two-years:1
0,0,0,0,1,1,1,1,1,0,0,0,0
0,0,0,1,1,1,1,0,0,0,1,0,0
0,0,0,0,1,1,1,1,0,0,0,1,1
1,0,0,1,1,1,1,1,1,0,0,0,0
0,0,0,0,0,1,1,1,0,0,1,0,0
0,0,0,0,1,1,1,1,0,0,0,1,0
0,0,0,1,1,1,1,1,1,0,0,0,0
0,0,0,0,1,1,1,1,1,0,0,0,1
0,0,0,0,1,1,1,1,0,0,0,1,1
0,0,0,1,1,1,1,1,1,0,0,0,0
0,0,0,1,1,1,0,0,0,0,0,1,0
0,0,0,1,1,1,1,1,0,1,0,0,1
0,0,0,0,0,1,1,1,0,0,0,1,0
0,0,0,0,0,1,1,1,1,0,0,0,1
0,0,0,0,1,1,1,1,0,0,0,1,1
0,1,1,1,1,1,1,1,1,0,0,0,0
0,0,0,1,1,1,1,1,0,0,0,1,1
0,0,0,0,0,1,1,1,0,1,0,0,0
0,0,1,1,1,1,1,1,1,0,0,0,1
0,0,0,0,1,1,1,1,0,1,0,0,0
0,0,0,0,1,1,1,1,0,0,0,1,0
0,1,1,1,1,1,1,1,1,0,0,0,0
1,0,0,1,1,1,1,1,0,0,1,0,1
0,0,0,0,0,1,1,1,0,0,0,1,1
0,0,0,0,0,1,1,1,0,0,1,0,0
0,0,0,0,1,1,1,1,0,1,0,0,0
1,0,1,1,1,1,1,1,1,0,0,0,0
0,0,1,1,1,1,0,0,0,0,1,0,1
0,0,0,0,1,1,1,1,0,0,0,1,0
0,1,1,1,1,1,1,1,1,0,0,0,1
0,0,0,0,0,1,1,1,0,1,0,0,0
0,0,0,1,1,1,1,1,0,0,0,1,0
0,0,0,0,1,1,1,1,1,0,0,0,0
0,1,1,1,1,1,0,0,0,0,1,0,1
0,1,1,1,1,1,1,1,0,1,0,0,0
0,1,1,1,1,1,1,1,0,1,0,0,1
0,0,0,0,1,0,1,0,0,0,0,1,1
0,0,0,0,1,1,0,0,0,0,0,1,1
0,0,0,0,0,1,1,1,0,0,0,1,1
0,0,0,0,0,1,1,1,0,0,0,1,1
0,0,0,1,1,1,1,1,0,1,0,0,0
0,0,0,0,0,1,1,1,0,0,1,0,0
0,0,0,0,1,1,1,1,0,0,0,1,0
0,0,0,0,1,1,1,1,0,0,0,1,0
0,0,1,1,1,1,1,1,0,1,0,0,1
0,1,1,1,1,1,1,0,1,0,0,0,0
0,0,1,1,1,1,1,1,1,0,0,0,1
0,0,0,0,1,1,1,1,0,0,0,1,0
0,0,0,0,1,1,1,1,0,1,0,0,1
0,0,0,0,0,1,1,0,0,0,0,1,1
0,0,0,0,0,1,1,1,0,0,0,1,1
0,0,0,0,1,1,1,1,0,0,0,1,1
0,0,0,0,1,1,1,1,1,0,0,0,0
0,0,1,1,1,1,1,1,0,1,0,0,0
0,0,0,0,1,1,1,1,1,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,1,0
0,0,0,0,1,1,1,1,0,0,0,1,1
0,0,0,1,1,1,1,1,0,0,1,0,1
0,0,0,0,1,1,1,1,0,0,0,1,1
0,0,1,1,1,1,1,1,0,0,1,0,1
0,0,0,0,0,1,1,1,0,1,0,0,1
0,0,0,1,1,1,1,1,1,0,0,0,1
0,0,0,0,1,1,0,0,0,0,0,1,1
0,0,1,1,1,1,1,1,1,0,0,0,0
0,0,0,0,1,1,1,1,0,1,0,0,1
1,0,0,0,0,1,1,1,1,0,0,0,0
0,0,0,0,0,1,1,1,1,0,0,0,0
0,0,0,0,1,1,1,1,0,0,0,1,1
1,0,0,0,1,1,1,1,0,0,1,0,1
0,0,1,1,1,1,1,1,0,1,0,0,1
0,0,0,0,1,1,1,1,0,0,1,0,0
0,0,0,0,0,1,1,1,1,0,0,0,0
0,1,1,1,1,1,0,0,0,1,0,0,1
0,0,0,0,1,1,1,1,0,1,0,0,1
1,0,1,1,1,1,1,1,1,0,0,0,0
0,0,0,1,1,1,1,1,0,0,1,0,1
0,0,0,0,1,1,1,1,0,0,0,1,1
0,0,0,0,0,1,1,1,0,1,0,0,0
0,0,0,0,0,1,1,1,0,0,0,1,1
0,1,1,1,1,1,1,1,0,1,0,0,1
0,0,0,0,1,1,1,1,0,0,1,0,1
0,0,0,0,1,1,0,0,0,0,0,1,1
0,0,0,1,1,1,1,1,0,1,0,0,1
0,0,0,1,1,1,1,1,0,1,0,0,0
0,0,0,0,0,1,1,1,1,0,0,0,0
0,0,0,0,1,1,1,1,0,0,1,0,0
0,0,1,1,1,1,1,1,1,0,0,0,1
0,0,0,1,1,1,1,1,1,0,0,0,0
0,0,0,0,0,1,1,1,0,0,0,1,1
0,0,0,0,1,1,1,1,0,0,1,0,1
0,0,0,0,0,1,1,1,1,0,0,0,0
0,0,0,0,1,1,1,1,1,0,0,0,0
0,0,0,0,1,1,1,1,1,0,0,0,0
0,0,0,0,1,1,1,1,0,0,0,1,0
1,0,0,0,1,1,1,1,1,0,0,0,1
0,1,1,1,1,1,1,1,1,0,0,0,0
0,0,0,0,0,1,1,1,1,0,0,0,1
0,0,0,0,1,1,1,1,0,0,1,0,0
0,0,0,0,1,0,1,0,0,0,0,1,1
0,0,0,0,0,1,1,1,0,1,0,0,0
0,0,0,0,1,1,1,1,1,0,0,0,0
0,0,0,0,0,1,1,1,0,1,0,0,1
0,0,0,0,0,1,1,1,0,0,1,0,0
0,0,0,0,0,1,1,1,0,0,1,0,0
1,1,1,1,1,1,1,1,1,0,0,0,0
1,0,0,0,0,1,1,1,0,0,0,1,1
0,0,0,0,1,1,1,1,1,0,0,0,0
0,0,0,0,1,1,1,1,0,1,0,0,0
1,0,0,0,1,1,1,1,1,0,0,0,0
0,0,0,1,1,1,1,1,0,0,1,0,1
0,0,0,0,0,1,1,1,0,1,0,0,1
0,1,1,1,1,1,1,0,1,0,0,0,0
1,0,0,0,1,1,1,1,0,1,0,0,0
0,0,0,1,1,1,1,1,0,0,0,1,1
1,0,0,0,0,1,1,1,1,0,0,0,0
0,0,1,1,1,1,1,1,0,0,0,1,1
0,0,0,0,0,1,1,1,0,1,0,0,0
1,0,0,0,0,1,1,1,1,0,0,0,0
1,0,1,1,1,1,1,1,0,0,1,0,0
0,0,0,0,1,1,1,1,0,1,0,0,1
1,0,0,0,0,1,1,1,0,1,0,0,0
0,0,0,1,1,1,0,0,0,0,0,1,0
1,0,0,0,1,1,1,1,1,0,0,0,0
1,0,0,1,1,1,1,1,0,0,1,0,0
1,1,1,1,1,1,1,1,0,1,0,0,0
0,0,1,1,1,1,1,1,0,0,1,0,1
0,0,0,0,1,1,1,1,1,0,0,0,0
0,1,1,1,1,1,1,1,1,0,0,0,0
0,0,0,0,0,1,1,1,0,1,0,0,0
0,0,0,1,1,1,1,1,0,0,0,1,1
0,0,0,0,1,1,0,0,0,0,0,1,1
0,0,0,0,1,1,1,1,0,0,0,1,1
0,1,1,1,1,1,1,1,0,1,0,0,0
0,0,0,0,0,1,1,1,0,0,0,1,0
1,0,0,1,1,1,1,1,0,1,0,0,0
1,0,0,0,1,1,0,0,0,0,0,1,1
0,0,0,0,1,1,1,1,0,0,1,0,0
1,0,0,0,1,1,1,1,0,1,0,0,1
0,0,0,0,0,1,1,1,0,0,0,1,0
0,0,0,0,0,1,1,1,1,0,0,0,0
0,0,0,0,1,1,1,1,1,0,0,0,0
0,0,0,0,1,1,1,1,1,0,0,0,1
0,0,0,1,1,1,1,0,1,0,0,0,0
0,0,0,0,0,1,1,1,0,0,0,1,1
0,0,0,0,0,1,1,1,0,0,0,1,0
0,0,0,0,1,1,1,1,0,0,1,0,0
0,0,0,1,1,1,0,0,0,0,0,1,1
0,0,0,0,1,1,1,1,0,0,0,1,0
0,0,0,0,1,1,1,1,0,0,0,1,1
0,0,0,1,1,1,1,1,0,0,1,0,1
0,0,1,1,1,1,0,0,0,0,1,0,1
0,0,1,1,1,1,1,1,0,0,1,0,1
0,0,0,1,1,1,1,1,0,1,0,0,1
1,1,1,1,1,1,1,1,1,0,0,0,0
0,0,0,0,1,1,1,0,0,0,0,1,0
1,0,0,0,0,1,1,1,1,0,0,0,0
0,1,1,1,1,1,1,1,0,1,0,0,0
0,0,1,1,1,1,1,1,1,0,0,0,0
0,0,0,0,1,1,1,1,0,0,0,1,1
1,1,1,1,1,0,1,0,0,1,0,0,1
0,0,0,0,1,1,1,1,0,1,0,0,1
0,1,1,1,1,0,1,0,0,0,1,0,1
0,1,1,1,1,1,1,1,1,0,0,0,0
1,0,0,1,1,1,1,1,0,0,1,0,0
0,1,1,1,1,1,1,1,1,0,0,0,1
0,0,0,0,0,1,1,1,0,0,1,0,0
0,0,0,0,0,1,1,1,0,1,0,0,0
0,0,1,1,1,1,1,0,1,0,0,0,1
0,0,1,1,1,1,1,1,0,1,0,0,1
0,0,0,0,0,1,1,1,0,0,0,1,0
0,0,0,0,1,1,1,1,0,1,0,0,1
1,0,1,1,1,1,1,1,1,0,0,0,0
0,0,1,1,1,1,1,1,0,0,0,1,1
1,0,0,0,1,1,1,1,0,0,1,0,1
1,0,0,1,1,1,1,1,1,0,0,0,0
0,1,1,1,1,1,1,0,1,0,0,0,0
0,0,0,0,1,1,1,1,1,0,0,0,1
0,0,0,0,1,1,1,1,0,0,0,1,1
0,0,0,0,1,1,1,1,1,0,0,0,0
0,0,0,1,1,1,1,1,0,0,1,0,0
0,1,1,1,1,1,1,0,0,0,1,0,1
1,0,0,0,1,1,1,1,1,0,0,0,0
1,0,0,0,1,1,1,1,0,1,0,0,0
0,0,0,0,1,1,1,1,0,0,0,1,0
0,0,0,0,1,1,1,1,0,0,1,0,0
0,0,0,1,1,1,1,1,0,0,1,0,1
0,0,0,0,1,1,1,1,1,0,0,0,1
0,0,0,0,1,1,0,0,0,0,0,1,1
0,0,1,1,1,1,1,1,0,1,0,0,0
0,0,0,0,1,1,1,1,0,0,1,0,0
1,0,0,0,1,1,1,1,0,0,1,0,0
0,0,0,0,1,1,1,1,0,0,1,0,0
0,0,0,0,1,1,1,1,1,0,0,0,0
0,0,0,0,1,1,1,1,0,0,1,0,1
0,0,0,0,1,1,1,1,0,1,0,0,0
0,0,0,0,1,1,1,1,0,0,0,1,0
1,0,0,1,1,1,1,1,1,0,0,0,1
0,0,0,0,0,1,1,1,0,0,0,1,1
1,0,0,0,1,1,1,1,0,1,0,0,0
1,0,0,0,1,1,1,1,1,0,0,0,0
0,0,1,1,1,1,1,1,1,0,0,0,1
0,0,0,0,1,1,1,1,0,0,0,1,0
0,0,0,0,1,1,1,1,0,0,0,1,1
1,0,0,0,1,1,1,1,0,1,0,0,0
0,0,0,0,0,1,1,1,1,0,0,0,1
0,0,0,1,1,1,1,0,0,0,0,1,1
1,0,0,0,1,1,1,1,0,0,0,1,0
0,0,0,0,0,1,1,1,0,0,1,0,0
0,0,0,0,0,1,1,1,0,0,0,1,1
0,0,0,0,1,1,1,1,1,0,0,0,1
0,0,0,1,1,1,1,0,0,0,1,0,1
0,0,0,0,1,1,1,1,0,0,1,0,1
0,0,1,1,1,1,0,0,0,0,0,1,0
0,1,1,1,1,1,1,0,1,0,0,0,1
0,0,0,0,1,1,1,1,1,0,0,0,0
0,0,0,0,1,1,1,1,0,0,0,1,1
0,0,0,0,0,1,1,1,1,0,0,0,1
0,0,0,0,1,1,1,1,0,0,0,1,0
0,0,0,0,0,1,1,1,0,0,0,1,1
0,0,0,0,1,1,1,1,0,0,1,0,0
0,0,0,0,0,1,1,1,0,1,0,0,0
0,0,0,0,1,1,1,1,0,0,1,0,1
0,1,1,1,1,1,0,0,0,1,0,0,1
0,0,0,0,0,1,1,1,1,0,0,0,0
0,0,0,1,1,1,1,1,0,0,0,1,1
0,0,0,0,1,1,1,1,1,0,0,0,0
0,0,0,0,1,1,1,1,0,0,0,1,1
1,0,0,0,1,1,1,1,0,0,1,0,0
1,0,1,1,1,1,1,1,0,0,1,0,0
0,0,1,1,1,1,1,1,0,0,0,1,1
0,0,0,0,1,1,1,1,1,0,0,0,1
0,1,1,1,1,0,0,0,0,0,1,0,0
0,0,0,0,1,1,1,1,1,0,0,0,0
0,0,0,0,1,1,1,1,0,1,0,0,0
0,0,0,0,1,1,1,1,0,0,1,0,1
0,0,0,0,1,1,1,1,0,0,0,1,0
0,0,0,0,0,1,1,1,1,0,0,0,1
0,0,1,1,1,1,1,1,0,1,0,0,0
0,0,0,0,0,1,1,1,1,0,0,0,1
0,0,0,0,1,0,1,0,0,0,0,1,1
0,0,0,1,1,1,1,1,1,0,0,0,1
1,1,1,1,1,1,1,1,0,1,0,0,1
0,0,0,0,1,1,1,1,0,0,1,0,1
1,0,0,0,1,1,1,0,0,0,0,1,1
0,0,0,1,1,1,0,0,0,0,0,1,1
1,0,0,0,1,1,1,1,0,1,0,0,0
0,0,0,0,1,1,0,0,0,0,0,1,1
0,0,0,0,0,1,1,1,1,0,0,0,0
0,1,1,1,1,1,1,0,0,1,0,0,0
0,0,0,0,1,1,1,1,0,1,0,0,0
0,1,1,1,1,1,1,1,1,0,0,0,0
0,0,0,0,1,1,1,1,1,0,0,0,0
0,1,1,1,1,1,1,1,0,1,0,0,1
0,0,0,0,1,1,1,1,0,0,0,1,0
0,0,0,0,1,1,1,1,0,0,1,0,1
0,0,0,0,1,1,1,1,0,0,0,1,0
0,0,0,0,0,1,1,1,1,0,0,0,0
0,1,1,1,1,1,1,1,1,0,0,0,0
0,0,0,0,1,1,1,1,0,0,0,1,0
1,0,0,0,1,1,1,1,1,0,0,0,0
0,0,0,0,0,1,1,1,0,0,0,1,1
1,1,1,1,1,1,1,1,1,0,0,0,0
0,0,0,0,1,1,1,1,0,0,0,1,1
1,0,0,0,0,1,1,1,0,1,0,0,0
1,0,0,1,1,1,1,1,1,0,0,0,0
0,0,0,0,0,1,1,1,0,0,0,1,1
0,0,0,1,1,1,1,0,0,1,0,0,0
0,1,1,1,1,1,1,1,1,0,0,0,1
0,0,0,0,0,1,1,1,0,0,0,1,1
0,0,0,0,1,1,1,1,0,0,0,1,0
0,0,0,0,0,1,1,1,0,0,0,1,0
0,0,0,0,1,1,1,1,1,0,0,0,0
0,0,0,0,1,1,1,1,1,0,0,0,0
0,1,1,1,1,1,1,1,0,1,0,0,1
0,0,0,0,1,1,1,1,0,1,0,0,0
0,0,0,0,1,1,1,1,1,0,0,0,0
0,0,0,0,1,1,1,1,1,0,0,0,1
0,0,0,0,1,1,1,1,0,0,0,1,1
1,0,0,0,0,1,1,1,1,0,0,0,0
0,0,0,0,1,1,1,1,1,0,0,0,0
0,0,0,0,1,1,1,1,0,0,1,0,0
0,0,0,0,1,1,1,1,0,0,0,1,1
0,0,0,0,0,1,1,1,1,0,0,0,0
0,0,1,1,1,1,1,1,1,0,0,0,0
0,0,0,0,0,1,1,1,0,0,0,1,0
0,1,1,1,1,0,1,0,0,1,0,0,1
0,0,0,0,1,1,1,1,0,0,0,1,0
0,0,0,1,1,1,1,1,1,0,0,0,1
0,0,0,0,1,1,1,1,0,0,1,0,1
0,0,0,0,0,1,1,1,0,0,1,0,1
1,0,0,0,0,1,1,1,1,0,0,0,1
0,1,1,1,1,1,1,1,1,0,0,0,1
0,0,0,0,1,1,1,1,0,0,0,1,0
1,0,0,0,1,1,1,1,0,0,0,1,1
1,0,0,0,1,1,1,1,0,1,0,0,0
0,0,0,0,0,1,1,1,0,0,0,1,0
0,0,0,0,1,1,1,1,0,0,0,1,1
0,0,0,0,1,1,1,1,0,1,0,0,0
0,0,0,0,1,1,1,1,1,0,0,0,0
0,0,1,1,1,1,1,1,0,0,1,0,1
0,0,0,1,1,1,1,1,1,0,0,0,0
1,0,0,0,0,1,1,1,0,1,0,0,1
1,0,0,0,0,0,1,0,0,0,0,1,0
1,0,0,0,0,1,1,1,1,0,0,0,0
0,1,1,1,1,1,1,0,0,1,0,0,1
0,1,1,1,1,1,1,1,1,0,0,0,1
0,1,1,1,1,1,1,1,1,0,0,0,0
0,0,1,1,1,1,1,1,1,0,0,0,0
0,0,0,0,1,1,1,1,0,0,1,0,0
0,0,0,1,1,1,0,0,0,0,0,1,1
0,0,0,0,1,1,1,1,0,0,0,1,0
0,0,0,0,1,1,1,1,0,0,0,1,0
1,0,0,0,1,1,1,1,1,0,0,0,0
0,0,0,0,0,1,1,1,0,1,0,0,0
0,0,0,0,1,1,1,1,0,0,0,1,0
0,0,0,0,1,1,1,1,0,1,0,0,0
0,0,0,0,1,1,1,1,0,0,0,1,1
0,0,0,0,1,1,1,1,0,1,0,0,1
0,0,0,0,0,1,1,1,0,0,0,1,1
0,0,0,0,1,1,1,1,0,0,1,0,1
0,0,1,1,1,1,1,0,0,1,0,0,0
0,0,0,0,1,1,1,1,0,0,1,0,0
0,0,0,1,1,1,1,1,0,0,1,0,1
0,0,0,0,1,1,1,1,0,0,1,0,0
0,0,0,0,1,1,1,1,0,1,0,0,0
0,0,1,1,1,1,1,1,1,0,0,0,0
0,0,1,1,1,1,1,0,0,1,0,0,0
0,0,0,0,0,1,1,1,1,0,0,0,0
0,0,0,0,1,1,1,1,0,0,1,0,1
0,0,0,0,1,1,1,1,0,0,1,0,1
0,0,0,0,0,1,1,1,1,0,0,0,1
0,0,1,1,1,1,1,1,0,0,1,0,0
0,0,0,0,1,1,1,1,0,1,0,0,1
0,0,0,0,1,0,1,0,0,0,0,1,0
0,0,0,0,1,1,1,1,1,0,0,0,0
0,0,0,0,1,1,1,1,0,0,0,1,1
1,1,1,1,1,1,0,0,0,0,1,0,0
0,0,0,0,1,1,1,1,0,0,0,1,1
0,0,0,0,1,1,1,1,0,0,0,1,1
0,0,1,1,1,1,1,1,0,0,0,1,0
0,0,0,0,1,1,1,1,0,0,0,1,0
1,0,0,0,1,1,0,0,0,0,0,1,1
0,0,0,0,1,1,0,0,0,0,0,1,0
0,0,0,0,0,1,1,1,0,0,0,1,0
0,0,0,0,0,1,1,1,0,0,1,0,0
0,0,0,0,1,1,1,1,1,0,0,0,1
0,0,0,0,0,1,1,1,0,0,0,1,1
1,0,0,0,1,1,1,1,0,0,0,1,1
0,0,0,0,0,1,1,1,0,0,1,0,0
1,1,1,1,1,1,1,1,1,0,0,0,0
1,0,0,0,1,1,1,1,0,0,1,0,0
0,0,0,0,1,1,0,0,0,0,1,0,1
0,0,0,0,1,1,1,1,0,0,1,0,1
0,0,0,0,0,1,1,1,0,0,0,1,1
0,1,1,1,1,1,1,1,0,0,0,1,1
0,0,0,0,1,1,1,1,0,0,0,1,0
0,0,1,1,1,1,1,1,1,0,0,0,1
0,0,0,0,1,1,1,1,0,0,0,1,1
1,0,0,0,0,1,1,1,0,1,0,0,0
0,0,0,1,1,1,1,1,0,0,1,0,0
0,0,0,0,1,1,1,1,0,0,0,1,0
0,0,0,1,1,1,1,1,0,0,1,0,0
1,0,0,0,1,1,1,1,0,0,1,0,0
0,0,0,0,1,1,1,1,0,1,0,0,0
0,0,0,0,1,1,1,1,0,0,1,0,0
0,0,0,0,1,1,1,0,0,0,0,1,0
0,0,0,1,1,1,1,1,0,1,0,0,1
0,0,0,0,0,1,1,1,1,0,0,0,0
0,0,0,1,1,1,1,1,0,0,1,0,1
0,0,0,0,1,1,1,1,0,0,0,1,0
0,0,0,0,0,1,1,1,0,0,1,0,1
0,0,0,1,1,1,1,1,0,0,1,0,1
1,0,0,0,0,1,1,1,0,1,0,0,1
1,0,0,0,1,1,1,1,1,0,0,0,1
1,0,0,1,1,1,1,1,1,0,0,0,0
0,0,0,0,1,1,1,1,0,0,0,1,1
0,0,0,1,1,1,1,1,0,0,1,0,1
1,0,0,0,1,1,0,0,0,0,0,1,0
1,0,0,0,1,1,1,1,1,0,0,0,0
0,0,0,0,1,1,1,1,0,0,0,1,1
0,0,1,1,1,1,1,1,0,1,0,0,0
0,0,0,0,0,1,1,1,0,0,1,0,1
1,0,0,0,1,1,1,1,0,0,1,0,0
1,0,0,0,1,1,1,1,0,0,0,1,1
0,0,0,0,0,1,1,1,0,0,0,1,0
0,0,1,1,1,1,1,1,0,0,1,0,1
0,0,0,0,1,1,1,1,0,0,1,0,1
0,0,0,0,1,1,1,1,1,0,0,0,0
0,0,0,0,1,1,1,1,1,0,0,0,0
1,0,0,0,1,1,1,1,0,0,1,0,0
0,0,0,0,1,1,1,1,0,1,0,0,1
0,0,0,0,1,1,1,1,0,0,0,1,1
0,0,0,0,0,1,1,1,0,0,1,0,0
0,0,0,1,1,1,1,1,0,1,0,0,1
1,0,0,1,1,1,1,1,0,1,0,0,0
0,0,0,0,1,1,1,1,1,0,0,0,0
1,0,0,0,1,1,1,1,1,0,0,0,0
0,0,0,0,1,1,1,1,0,0,0,1,1
1,0,0,0,1,1,1,1,1,0,0,0,0
0,0,0,0,1,1,1,1,1,0,0,0,0
0,0,1,1,1,0,1,0,0,0,0,1,1
0,0,0,0,1,0,0,0,0,0,0,1,1
0,0,0,1,1,1,1,1,1,0,0,0,0
0,0,0,1,1,1,1,1,1,0,0,0,0
0,0,1,1,1,1,1,1,0,0,0,1,0
0,0,1,1,1,1,0,0,0,0,0,1,1
0,0,0,0,0,1,1,1,1,0,0,0,0
0,0,0,1,1,1,1,1,0,0,1,0,1
0,0,0,0,0,1,1,1,1,0,0,0,0
1,0,0,1,1,1,1,1,0,0,0,1,1
0,0,0,1,1,1,1,1,0,1,0,0,0
0,0,0,0,0,1,1,1,0,1,0,0,0
0,0,0,0,0,1,1,1,1,0,0,0,1
0,0,0,0,0,1,1,1,0,0,1,0,1
0,0,0,0,1,1,1,1,0,0,0,1,0
0,0,0,1,1,1,1,1,1,0,0,0,0
0,0,0,0,1,1,0,0,0,0,0,1,0
1,0,0,1,1,1,1,1,0,0,1,0,1
0,0,0,0,0,1,1,1,0,0,0,1,0
0,0,0,1,1,1,1,1,0,1,0,0,0
0,1,1,1,1,1,0,0,0,1,0,0,1
0,0,0,0,1,1,1,1,0,0,0,1,1
0,0,0,1,1,1,1,1,0,1,0,0,0
0,0,0,0,1,0,1,0,0,0,0,1,1
0,1,1,1,1,1,1,0,1,0,0,0,1
1,0,0,1,1,1,1,1,0,0,1,0,1
0,1,1,1,1,1,0,0,0,0,1,0,1
0,0,0,0,1,1,1,1,0,1,0,0,0
0,0,0,0,1,1,1,1,0,0,0,1,0
0,0,1,1,1,1,1,1,1,0,0,0,0
1,0,0,0,0,1,1,1,0,0,1,0,0
0,0,0,0,0,1,1,1,0,0,0,1,1
0,0,0,0,1,1,1,1,0,0,0,1,1
0,0,1,1,1,1,0,0,0,0,0,1,1
0,0,0,0,1,1,1,1,0,0,0,1,0
0,1,1,1,1,1,1,1,1,0,0,0,1
0,0,0,0,0,1,1,1,0,0,0,1,1
1,0,0,0,1,1,1,1,0,1,0,0,1
0,0,0,0,1,1,1,1,1,0,0,0,1
0,0,0,0,1,1,1,1,0,1,0,0,0
0,0,0,0,1,1,1,1,0,0,1,0,1
0,0,0,0,0,1,1,1,1,0,0,0,0
0,0,0,0,1,1,0,0,0,0,0,1,1
0,0,0,0,0,1,1,1,0,1,0,0,0
0,0,1,1,1,1,1,1,0,1,0,0,0
0,0,0,0,1,1,1,1,0,1,0,0,0
0,1,1,1,1,1,0,0,0,0,1,0,1
0,0,1,1,1,1,1,1,0,0,0,1,1
0,0,0,0,1,0,0,0,0,0,0,1,1
0,0,0,1,1,1,1,1,0,1,0,0,0
0,0,0,0,1,1,1,1,0,0,0,1,1
0,0,0,0,1,1,1,1,0,1,0,0,0
0,0,0,0,1,1,1,1,0,0,1,0,0
0,0,0,0,1,1,0,0,0,0,0,1,1
0,0,0,1,1,1,1,1,0,0,0,1,1
0,0,0,0,0,1,1,1,0,0,0,1,1
0,0,0,0,1,1,1,1,0,0,0,1,1
0,0,0,0,0,1,1,1,0,0,1,0,0
0,0,0,1,1,1,1,1,0,1,0,0,1
0,0,0,1,1,1,1,1,0,1,0,0,0
0,0,0,0,1,1,1,1,0,1,0,0,0
0,0,0,0,1,1,1,1,0,0,1,0,1
0,0,1,1,1,1,1,1,1,0,0,0,1
0,0,0,1,1,1,0,0,0,0,0,1,1
0,0,0,0,1,1,1,1,1,0,0,0,1
0,0,0,0,1,1,1,1,0,0,0,1,1
1,0,0,0,1,1,1,1,1,0,0,0,0
0,0,0,0,1,1,1,1,0,0,0,1,1
0,0,0,0,1,1,1,1,1,0,0,0,0
0,0,0,0,1,1,1,1,0,0,0,1,1
0,0,0,1,1,1,1,1,1,0,0,0,1
1,0,0,0,1,1,1,0,0,0,1,0,1
0,0,0,0,1,1,1,1,0,0,0,1,1
0,0,0,0,1,1,1,1,1,0,0,0,0
0,0,0,0,0,1,1,1,0,0,0,1,0
0,1,1,1,1,1,1,1,0,1,0,0,1
1,0,0,0,1,1,1,1,0,0,0,1,1
0,0,0,0,1,1,1,1,0,0,0,1,1
0,0,0,0,1,1,1,1,1,0,0,0,0
0,0,0,0,1,1,1,1,0,0,0,1,0
1,0,0,1,1,1,1,0,0,0,1,0,0
0,0,0,0,1,1,1,1,0,0,0,1,1
0,0,1,1,1,1,1,0,1,0,0,0,1
1,0,0,0,1,1,1,1,0,0,0,1,0
1,0,1,1,1,1,1,1,1,0,0,0,0
0,0,0,0,1,1,1,1,0,0,1,0,0
1,0,0,1,1,1,1,1,0,0,0,1,1
1,0,0,1,1,1,1,1,1,0,0,0,0
0,1,1,1,1,1,1,1,1,0,0,0,0
0,0,0,0,1,1,0,0,0,0,1,0,0
0,0,0,0,1,1,1,1,1,0,0,0,0
0,1,1,1,1,1,1,1,0,1,0,0,1
0,0,1,1,1,1,1,1,1,0,0,0,0
1,0,0,0,0,1,1,1,0,1,0,0,0
0,0,1,1,1,1,1,1,0,0,1,0,1
0,0,1,1,1,1,1,1,0,1,0,0,1
1,1,1,1,1,1,1,1,0,1,0,0,1
1,0,0,0,1,1,1,1,0,0,0,1,1
0,0,0,0,1,1,1,1,0,0,1,0,1
0,0,0,0,1,1,1,1,0,0,1,0,0
0,0,1,1,1,1,0,0,0,0,0,1,1
1,0,0,1,1,1,1,1,0,0,1,0,1
0,0,0,0,1,1,1,1,1,0,0,0,0
0,0,1,1,1,0,1,0,0,0,1,0,1
0,0,0,1,1,1,1,1,0,1,0,0,0
0,0,0,0,1,1,1,1,0,1,0,0,1
0,0,0,1,1,0,0,0,0,0,0,1,1
0,0,0,1,1,1,1,1,0,1,0,0,0
0,0,0,1,1,1,1,1,0,0,1,0,0
0,0,0,0,1,1,1,1,1,0,0,0,0
1,0,0,0,1,1,1,1,0,1,0,0,1
1,0,1,1,1,1,1,1,1,0,0,0,0
1,0,0,0,1,1,1,1,1,0,0,0,0
0,0,0,0,1,1,1,1,0,0,0,1,1
0,0,0,0,0,1,1,1,0,0,0,1,0
1,0,0,0,1,1,1,1,0,0,1,0,1
0,0,0,0,1,1,1,1,0,0,0,1,1
0,0,0,0,1,1,1,1,0,0,0,1,0
0,0,0,1,1,1,1,0,0,0,0,1,1
0,0,0,1,1,1,1,1,0,0,0,1,1
0,0,0,0,0,1,1,1,1,0,0,0,0
0,0,0,0,1,1,1,1,0,0,0,1,1
0,1,1,1,1,1,1,1,1,0,0,0,1
0,0,0,0,0,1,1,1,0,0,0,1,1
0,0,0,0,1,1,0,0,0,0,0,1,1
0,1,1,1,1,1,0,0,0,0,1,0,1
0,0,0,0,1,0,1,0,0,0,0,1,1
0,0,0,0,1,0,1,0,0,0,0,1,1
1,0,0,0,0,1,1,1,1,0,0,0,0
0,0,0,1,1,1,1,1,1,0,0,0,0
0,1,1,1,1,1,0,0,0,0,0,1,1
0,0,0,0,1,1,1,1,0,0,1,0,1
0,0,0,0,1,1,1,1,0,0,0,1,0
1,0,0,1,1,1,1,1,1,0,0,0,0
